element,electronegativity,valency,dband,covalent_radius,ionization_energy,oxidation_state,standard_potential,atomic_mass,atomic_radius
Ba,0.89,2,nan,198,5.2117,2,-2.912,137.327,215
Ag,1.93,1,-4.3,153,7.5762,1,0.8,107.8682,160
Nd,1.14,2,nan,201,5.525,3,-2.7,144.242,185
Fe,1.83,2,-0.92,125,7.9024,3,-0.41,55.845,140
Mg,1.31,2,nan,130,7.64624,2,-2.38,24.305,150
Ir,2.2,2,-2.11,137,8.967,4,nan,192.217,135
Mo,2.16,1,0.35,145,7.09243,4,nan,95.96,145
W,2.36,2,0.77,135,7.864,6,nan,183.84,146
Y,1.22,2,nan,162,6.2171,3,-2.372,88.90585,180
Os,2.2,2,nan,128,8.4382,8,nan,190.23,130
Li,0.98,1,nan,134,5.39172,1,-3.04,6.941,145
Na,0.93,1,nan,154,5.13908,1,-2.71,22.98976928,180
Tc,1.9,1,-0.6,156,7.28,4,nan,98,135
P,2.19,5,nan,106,10.48669,-3,nan,30.973762,100
Co,1.88,2,-1.17,121,7.6398,2,-0.28,58.933195,135
K,0.82,1,nan,196,4.34066,1,-2.92,39.0983,220
Sr,0.95,2,nan,192,5.6949,2,-4.101,87.62,200
Au,2.54,1,-3.56,144,9.2255,3,1.52,196.966569,135
Zn,1.65,2,nan,131,9.3942,2,-0.76,65.38,135
Rh,2.28,1,-1.73,135,7.4589,nan,nan,102.9055,135
Cu,1.9,1,-2.67,138,7.72638,nan,0.34,63.546,135
Ni,1.91,2,-1.29,126,7.881,nan,-0.23,58.6934,135
Bi,2.02,5,nan,146,7.2856,-3,0.308,208.9804,160
Pt,2.28,1,-2.25,128,8.9587,nan,1.188,195.084,135
N,1.91,5,nan,75,14.53414,-3,nan,14.0067,65
Gd,1.2,2,nan,196,6.1501,nan,-2.279,157.25,180
S,2.58,6,nan,102,10.36001,-2,nan,32.065,100
Re,1.9,2,-0.51,159,7.8335,nan,0.3,186.207,135
Mn,1.55,2,0.07,139,7.43402,nan,-1.185,54.938045,140
Cr,1.66,1,0.16,127,6.7665,nan,-0.74,51.9961,140
Ca,1,2,nan,174,6.11316,2,-2.76,40.078,180
Pd,2.2,10,-1.83,131,8.3369,nan,0.915,106.42,140
Ru,2.2,1,-1.41,126,7.3605,nan,nan,101.07,130
H,2.2,1,nan,38,13.59844,1,0,1.007,25
O,3.44,6,nan,73,13.61806,-2,nan,15.9994,60